# ROBOT_PATH V2
# ERSTELLT=2026-07-17T19:28:52
# TEIL=merged10
# QUELLE=beispiel_grind_path.json
# REIHENFOLGE_OPTIMIERT=1
# UMORIENTIERUNG_DEG=0.0
# NUR_LUFTLAUF=1
# KALIBRIERUNG=RMSE 0.85 mm > 0.5 mm
# POSEN=41
# V_TRANSFER=80.0
# V_APPROACH=20.0
# V_INFEED=5.0
# V_CONTACT=10.0
# V_RETRACT=30.0
# FORMAT=PHASE;X_mm;Y_mm;Z_mm;A_deg;B_deg;C_deg
TRANSFER;572.091;20.123;388.594;5.899;-0.462;-179.532
APPROACH;572.091;20.123;433.594;5.899;-0.462;-179.532
INFEED;572.091;20.123;433.594;5.899;-0.462;-179.532
CONTACT;572.091;20.123;433.594;5.899;-0.462;-179.532
CONTACT;573.807;20.063;433.594;5.899;-0.462;-179.532
CONTACT;576.265;20.377;433.594;5.899;-0.462;-179.532
CONTACT;578.247;19.917;433.594;5.899;-0.462;-179.532
CONTACT;579.529;20.626;433.594;5.899;-0.462;-179.532
CONTACT;581.987;20.680;433.594;5.899;-0.462;-179.532
CONTACT;584.374;20.966;433.594;5.899;-0.462;-179.532
CONTACT;585.351;20.054;433.594;5.899;-0.462;-179.532
CONTACT;587.583;20.619;433.594;5.899;-0.462;-179.532
CONTACT;589.711;20.979;433.594;5.899;-0.462;-179.532
CONTACT;591.440;20.610;433.594;5.899;-0.462;-179.532
CONTACT;593.186;20.092;433.594;5.899;-0.462;-179.532
CONTACT;595.346;20.204;433.594;5.899;-0.462;-179.532
CONTACT;596.962;20.146;433.594;5.899;-0.462;-179.532
CONTACT;599.024;20.943;433.594;5.899;-0.462;-179.532
CONTACT;601.015;20.933;433.594;5.899;-0.462;-179.532
RETRACT;601.015;20.933;433.594;5.899;-0.462;-179.532
RETRACT;601.015;20.933;388.594;5.899;-0.462;-179.532
TRANSFER;597.712;47.415;388.594;5.899;-0.462;-179.532
APPROACH;597.712;47.415;433.594;5.899;-0.462;-179.532
INFEED;597.712;47.415;433.594;5.899;-0.462;-179.532
CONTACT;597.712;47.415;433.594;5.899;-0.462;-179.532
CONTACT;597.951;44.660;433.594;5.899;-0.462;-179.532
CONTACT;597.023;43.749;433.594;5.899;-0.462;-179.532
CONTACT;595.060;42.852;433.594;5.899;-0.462;-179.532
CONTACT;595.471;44.049;433.594;5.899;-0.462;-179.532
CONTACT;595.565;46.577;433.594;5.899;-0.462;-179.532
CONTACT;596.348;47.336;433.594;5.899;-0.462;-179.532
CONTACT;593.904;47.811;433.594;5.899;-0.462;-179.532
CONTACT;594.287;46.629;433.594;5.899;-0.462;-179.532
CONTACT;593.460;44.459;433.594;5.899;-0.462;-179.532
CONTACT;593.004;43.420;433.594;5.899;-0.462;-179.532
CONTACT;591.120;44.022;433.594;5.899;-0.462;-179.532
CONTACT;591.295;44.518;433.594;5.899;-0.462;-179.532
CONTACT;591.936;47.254;433.594;5.899;-0.462;-179.532
CONTACT;591.850;48.126;433.594;5.899;-0.462;-179.532
RETRACT;591.850;48.126;433.594;5.899;-0.462;-179.532
RETRACT;591.850;48.126;388.594;5.899;-0.462;-179.532
